Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
 V ,JPANEL,org.weasis.dicom.viewer2d.LutToolBar,getPopupMenu,5,4,9,0,Alto Acoplamento Efferent
" A, V, X ",JPANEL,org.weasis.dicom.viewer2d.View2dContainer,getPrintActions,21,1,15,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.core.api.gui.util.GeomUtil,getAngleDeg,6,4,3,3,Muitos Parametros
 V ,VIEW,org.weasis.dicom.viewer2d.EventManager,wl,25,6,10,1,Metodo Longo
" A, V, X ",MEDIAELEMENT,org.weasis.dicom.codec.AbstractKOSpecialElement,addKeyObjects,49,9,18,4,Muitos Parametros
 V ,SWINGWORKER,org.weasis.dicom.explorer.LoadDicomObjects,addSelectionAndnotify,27,9,9,0,Muitos Desvios
 V ,[OPMANAGER],org.weasis.core.api.image.SimpleOpManager,addImageOperationAction,30,7,8,3,Muitos Parametros
 V ,IMAGEWRITER,org.weasis.image.jni.NativeImageWriter,getContiguousData,22,7,7,2,Muitos Desvios
 V ,IMAGEREADER,org.weasis.image.jni.NativeImageReader,checkParameters,16,8,3,2,Muitos Desvios
" A, D, V, X ",[CODEC],org.weasis.imageio.codec.ImageioCodec,deactivate,22,6,15,1,Alto Acoplamento Efferent
 V ,MEDIAELEMENT,org.weasis.core.api.media.data.ImageElement,startImageLoading,34,8,9,0,Metodo Longo
 V ,MODEL,org.weasis.dicom.explorer.DicomModel,replaceSeries,25,4,9,3,Alto Acoplamento Efferent
 V ,JLABEL,org.weasis.core.api.gui.util.TableHeaderRenderer,getTableCellRendererComponent,34,9,10,6,Metodo Longo
 V ,UNDEFINED,org.weasis.dicom.explorer.pr.PrSerializer,transformShapeToContour,27,7,11,2,Metodo Longo
 V ,VIEW,org.weasis.core.ui.editor.image.ImageViewerEventManager,triggerDrawActionKeyEvent,25,10,9,4,Metodo Longo
 V ,MEDIAELEMENT,org.weasis.dicom.codec.KOSpecialElement,setKeyObjectReference,28,5,11,2,Muitos Desvios
" A, R, D, V, X ",JPANEL,org.weasis.base.viewer2d.View2dContainer,propertyChange,82,28,24,1,Muitos Desvios
 V ,MODEL,org.weasis.core.ui.model.AbstractGraphicModel,getSelectedAllGraphicsIntersecting,29,14,9,2,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.core.api.gui.util.GeomUtil,getPerpendicularPointFromLine,9,5,3,4,Muitos Desvios
" A, D, V, X ",MEDIASERIESGROUPNODE,org.weasis.dicom.codec.DicomEncapDocSeries,addMedia,34,6,15,1,Alto Acoplamento Efferent
 V ,VIEW,org.weasis.dicom.viewer2d.EventManager,zoomCommand,25,7,10,2,Metodo Longo
 V ,UNDEFINED,org.weasis.core.api.image.op.MinCollectionZprojection,computeRectInt,45,8,9,3,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.weasis.dicom.viewer2d.mip.SeriesBuilder,saveToFile,4,3,38,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.core.api.image.op.MinCollectionZprojection,computeRectDouble,45,8,11,3,Alto Acoplamento Efferent
 V ,JPANEL,org.weasis.dicom.sr.EditorPanePrinter,paintComponent,23,3,7,1,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.weasis.dicom.explorer.wado.DownloadManager,readStudy,32,8,15,5,Muitos Parametros
" A, R, D, V, X ",IMAGEREADER,org.weasis.dicom.codec.DicomMediaIO,readMetaData,81,23,23,1,Alto Acoplamento Efferent
" A, R, D, V, X ",ADAPTER,org.weasis.core.ui.editor.image.GraphicMouseHandler,mousePressed,88,28,21,1,Metodo Longo
" A, R, D, V, X ",VIEW,org.weasis.dicom.viewer2d.EventManager,updateWindowLevelComponentsListener,64,21,27,2,Alto Acoplamento Efferent
 V ,VIEW,org.weasis.dicom.au.AuFactory,createSeriesViewer,24,6,9,1,Metodo Longo
 V ,ENTITY,org.weasis.core.api.media.data.TagW,getValue,25,15,9,1,Metodo Longo
 V ,UNDEFINED,org.weasis.dicom.codec.utils.DicomImageUtils,hasImageReader,22,7,8,1,Metodo Longo
 V ,UNDEFINED,org.weasis.dicom.codec.SortSeriesStack,compare,8,5,5,2,Muitos Desvios
 V ,JPANEL,org.weasis.core.ui.docking.PluginTool,updateVisibleState,33,14,10,0,Metodo Longo
 V ,UNDEFINED,org.weasis.core.api.gui.util.GeomUtil,getParallelLine,11,4,5,3,Muitos Parametros
" A, V, X ",IMAGEREADER,org.weasis.dicom.codec.DicomMediaIO,getMediaElement,37,12,8,0,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.codec.utils.LutParameters,hashCode,18,7,4,0,Muitos Desvios
 V ,JPANEL,org.weasis.dicom.viewer2d.dockable.DisplayTool,iniTreeValues,30,7,10,1,Metodo Longo
" A, R, V, X ",JLABEL,org.weasis.acquire.explorer.gui.model.renderer.MediaSourceListCellRenderer,getListCellRendererComponent,14,4,6,5,Muitos Parametros
 V ,SWINGWORKER,org.weasis.dicom.explorer.wado.LoadSeries,writFile,67,12,22,3,Muitos Parametros
 V ,JTABBEDPANE,org.weasis.dicom.explorer.DicomFieldsView,printItem,8,2,5,3,Muitos Parametros
" A, R, D, V, X ",JPANEL,org.weasis.dicom.explorer.DicomExplorer,paintBorder,12,3,6,6,Muitos Parametros
 V ,UNDEFINED,org.weasis.image.jni.NativeImage,fillInputBuffer,3,1,2,3,Muitos Parametros
" A, R, D, V, X ",JPANEL,org.weasis.core.ui.editor.image.dockable.MeasureTool,getIconsPanel,103,10,27,0,Metodo Longo
 V ,VIEW,org.weasis.base.viewer2d.EventManager,setSelectedView2dContainer,31,8,5,1,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.weasis.dicom.sr.SRReader,convertContentToHTML,109,35,14,6,Muitos Desvios
 V ,ABSTRACTOP,org.weasis.core.api.image.MergeImgOp,combineTwoImages,24,6,8,3,Muitos Desvios
 V ,VIEW,org.weasis.base.viewer2d.ViewerFactory,createSeriesViewer,40,11,12,1,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.weasis.dicom.codec.utils.DicomImageUtils,setWindowLevelSigmoidLut,3,1,4,7,Muitos Parametros
 V ,MODEL,org.weasis.core.ui.model.graphic.imp.line.PolylineGraphic,prepareShape,23,7,3,0,Muitos Desvios
 V ,MEDIASERIESGROUPNODE,org.weasis.dicom.codec.DicomSeries,loadArrays,32,10,11,2,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.base.ui.gui.WeasisWin,showWindow,26,4,8,0,Metodo Longo
 V ,JPANEL,org.weasis.acquire.dockable.components.actions.rectify.RectifyPanel,initValues,44,4,17,2,Metodo Longo
 V ,JPANEL,org.weasis.dicom.viewer2d.mpr.MPRContainer,run,21,6,2,0,Muitos Desvios
 V ,UNDEFINED,org.weasis.acquire.explorer.AcquireManager,findSeries,21,4,9,3,Muitos Parametros
" A, R, D, V, X ",[NATIVECODEC],org.weasis.jpeg.internal.JpegCodec,getSOFSegment,46,16,3,1,Muitos Desvios
 V ,JPANEL,org.weasis.core.api.image.op.Contrast,getRescaledImage,23,3,6,3,Muitos Parametros
 V ,VIEW,org.weasis.dicom.viewer2d.EventManager,setSelectedView2dContainer,31,8,5,1,Metodo Longo
 V ,JPANEL,org.weasis.dicom.au.AuView,getAudioInputStream,33,10,14,1,Metodo Longo
 V ,ARRAYLIST,org.weasis.dicom.explorer.SeriesSelectionModel,getFirstElement,13,5,5,0,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.weasis.dicom.viewer2d.PRManager,buildPrSelection,47,13,16,3,Alto Acoplamento Efferent
 V ,MEDIAELEMENT,org.weasis.dicom.codec.DicomSpecialElement,getPRSpecialElements,22,8,10,4,Muitos Desvios
" A, R, D, V, X ",MEDIAELEMENT,org.weasis.dicom.codec.AbstractKOSpecialElement,updateHierachicalSOPInstanceReference,48,13,16,0,Alto Acoplamento Efferent
 V ,[GRAPHICLABEL],org.weasis.core.ui.model.graphic.AbstractGraphicLabel,getArea,26,7,8,1,Muitos Desvios
" A, D, V, X ",ABSTRACTBUFFERHANDLER,org.weasis.core.api.image.util.ImageFiler,writeTIFF,51,9,17,5,Metodo Longo
 V ,JPANEL,org.weasis.core.ui.editor.image.CalibrationView,initialize,28,5,15,0,Muitos Desvios
 V ,JPANEL,org.weasis.dicom.au.AuContainer,propertyChange,33,13,9,1,Metodo Longo
 V ,JLIST,org.weasis.acquire.explorer.gui.central.tumbnail.AcquireCentralThumnailList,operationRotate,17,3,10,4,Alto Acoplamento Efferent
" A, V, X ",UNDEFINED,org.weasis.dicom.explorer.pr.PrSerializer,buildDicomGraphic,52,10,18,3,Metodo Longo
 V ,JPANEL,org.weasis.dicom.viewer2d.mpr.MPRContainer,selectLayoutPositionForAddingSeries,24,8,10,1,Muitos Desvios
 V ,JPANEL,org.weasis.acquire.dockable.EditionTool,changingViewContentEvent,29,13,11,1,Alto Acoplamento Efferent
 V ,JPANEL,org.weasis.core.ui.pref.GeneralSetting,getAvailableLookAndFeel,29,9,4,1,Metodo Longo
" A, V, X ",ABSTRACTOP,org.weasis.dicom.codec.display.WindowAndPresetsOp,handleImageOpEvent,42,13,15,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.launcher.WeasisLauncher,getAvailableLookAndFeel,29,9,4,1,Metodo Longo
 V ,[PRINTABLE],org.weasis.core.ui.util.ImagePrint,printImage,46,11,15,2,Metodo Longo
 V ,UNDEFINED,org.weasis.dicom.viewer2d.PRManager,readGraphicAnnotation,139,39,42,3,Muitos Parametros
" A, V, X ",UNDEFINED,org.weasis.dicom.codec.utils.DicomMediaUtils,applyVoiLutModule,25,15,8,4,Muitos Parametros
 V ,ENTITY,org.weasis.core.ui.model.utils.algo.Contour,writeNewPositionWithNoRestriction,22,5,5,6,Metodo Longo
 V ,MODEL,org.weasis.core.ui.model.graphic.AbstractGraphic,paintHandles,27,6,13,2,Muitos Desvios
 V ,UNDEFINED,org.weasis.core.ui.model.utils.algo.MinimumEnclosingRectangle,getMinimumRectangle,46,9,8,0,Metodo Longo
" A, V, X ",ARRAYLIST,org.weasis.dicom.explorer.SeriesSelectionModel,adjustSelection,38,11,4,2,Muitos Desvios
" A, R, V, X ",JPANEL,org.weasis.dicom.explorer.DicomExplorer,addDicomSeries,60,15,18,1,Muitos Desvios
" A, V, X ",JPANEL,org.weasis.dicom.viewer2d.View2dContainer,setKOSpecialElement,47,18,15,4,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.dicom.explorer.wado.DownloadManager,compare,23,6,13,2,Metodo Longo
 V ,UNDEFINED,org.weasis.dicom.explorer.pr.PrSerializer,writeGraphics,29,5,13,2,Metodo Longo
" A, V, X ",UNDEFINED,org.weasis.core.api.gui.util.MathUtil,getAzimuth,5,1,2,4,Muitos Parametros
 V ,UNDEFINED,org.weasis.base.explorer.JIThumbnailCache,run,23,7,13,0,Muitos Desvios
" A, V, X ",UNDEFINED,org.weasis.launcher.RemotePreferences,initialize,6,1,3,4,Muitos Parametros
" A, V, X ",[GRAPHICLABEL],org.weasis.core.ui.model.graphic.AbstractGraphicLabel,setLabel,17,5,9,4,Muitos Parametros
 V ,ABSTRACTBUFFERHANDLER,org.weasis.core.api.image.util.ImageFiler,getReadableImage,44,9,14,1,Muitos Desvios
 V ,JPANEL,org.weasis.acquire.explorer.gui.central.meta.panel.AcquireMetadataPanel,getTableCellEditorComponent,47,9,18,5,Muitos Desvios
" A, V ",UNDEFINED,org.weasis.dicom.explorer.pr.PrSerializer,bluildLabelAndAnchor,24,3,12,1,Alto Acoplamento Efferent
 V ,SERVICE,org.weasis.core.api.internal.Activator,initLoggerAndAudit,25,5,11,1,Metodo Longo
" A, R, D, V, X ",VIEW,org.weasis.core.ui.editor.image.ImageViewerEventManager,getMoveTroughSliceAction,124,1,0,3,Metodo Longo
 V ,JPANEL,org.weasis.core.ui.editor.image.CalibrationView,createArea,9,1,7,3,Muitos Parametros
 V ,JPANEL,org.weasis.dicom.viewer2d.LutToolBar,paintIcon,13,4,9,4,Alto Acoplamento Efferent
" A, V, X ",VIEW,org.weasis.dicom.viewer2d.EventManager,reset,23,8,13,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.dicom.codec.utils.SplittingModalityRules,match,37,12,10,1,Alto Acoplamento Efferent
 V ,OPERATIONDESCRIPTORIMPL,org.weasis.core.api.image.op.RectifySignedShortDataDescriptor,validateArguments,18,5,7,3,Muitos Desvios
" A, R, D, V, X ",ABSTRACTBUFFERHANDLER,org.weasis.core.api.image.util.ImageFiler,writeTIFF,13,4,6,5,Muitos Parametros
 V ,UNDEFINED,org.weasis.dicom.codec.geometry.ImageOrientation,getMajorAxisFromPatientRelativeDirectionCosine,19,13,3,3,Muitos Parametros
 V ,JPANEL,org.weasis.dicom.explorer.DicomExplorer,removeSeries,25,7,6,1,Metodo Longo
 V ,UNDEFINED,org.weasis.dicom.viewer2d.mpr.SeriesBuilder,getRotatedImage,13,4,9,2,Alto Acoplamento Efferent
 V ,TEST,org.weasis.dicom.codec.TagDTest,testGetDicomPeriod,22,1,6,0,Metodo Longo
 V ,VIEW,org.weasis.core.api.gui.util.MouseActionAdapter,getButtonMask,10,6,1,0,Muitos Desvios
" A, R, D, V, X ",MODEL,org.weasis.dicom.viewer2d.InfoLayer,paint,333,97,54,1,Muitos Desvios
 V ,MEDIAELEMENT,org.weasis.dicom.codec.DicomImageElement,getVOILookup,16,9,7,8,Muitos Desvios
 V ,JPANEL,org.weasis.core.ui.editor.image.ViewerToolBar,getMouseIcon,15,5,6,1,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.codec.utils.DicomMediaUtils,applyVoiLutModule,25,15,8,4,Metodo Longo
" A, R, D, V, X ",[NATIVECODEC],org.weasis.openjpeg.internal.OpenJpegCodec,decompress,121,30,24,2,Muitos Desvios
 V ,JPANEL,org.weasis.dicom.viewer2d.Basic3DToolBar,actionPerformed,22,5,0,1,Metodo Longo
" A, R, D, V, X ",DIALOG,org.weasis.core.ui.util.PrintDialog,initComponents,77,2,17,1,Metodo Longo
" A, R, D, V, X ",MODEL,org.weasis.dicom.viewer2d.InfoLayer,drawLUT,69,15,21,3,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.weasis.dicom.viewer2d.PRManager,readGraphicAnnotation,139,39,42,3,Metodo Longo
 V ,JPANEL,org.weasis.acquire.explorer.gui.control.AcquirePublishPanel,publishDirDicom,35,8,14,2,Metodo Longo
" A, R, D, V, X ",JPANEL,org.weasis.dicom.explorer.DicomExplorer,propertyChange,109,25,0,1,Muitos Desvios
" A, R, D, V, X ",MODEL,org.weasis.core.ui.model.graphic.imp.PixelInfoGraphic,computeMeasurements,35,14,17,3,Alto Acoplamento Efferent
" A, V, X ",ADAPTER,org.weasis.core.api.gui.util.SliderChangeListener,setSliderMinMaxValue,5,1,2,4,Muitos Parametros
 V ,TAGW,org.weasis.dicom.codec.TagD,getDatesFromElement,22,6,7,5,Muitos Desvios
 V ,MODEL,org.weasis.core.ui.model.graphic.imp.line.ParallelLineGraphic,computeMeasurements,20,8,15,3,Muitos Parametros
 V ,JTABBEDPANE,org.weasis.dicom.explorer.DicomFieldsView,showCurrentSearch,24,8,9,1,Muitos Desvios
" A, V, X ",JPANEL,org.weasis.dicom.explorer.LocalExport,browseImgFile,47,13,11,1,Muitos Desvios
 V ,UNDEFINED,org.weasis.core.api.image.util.LayoutUtil,createCompatibleRaster,18,5,5,2,Muitos Desvios
" A, V, X ",JCOMPONENT,org.weasis.dicom.viewer2d.View2d,updateKOselectedState,32,10,14,1,Muitos Desvios
 V ,MODEL,org.weasis.base.explorer.list.AThumbnailModel,loadContent,25,6,11,2,Muitos Desvios
 V ,JLIST,org.weasis.acquire.explorer.gui.central.tumbnail.AcquireCentralThumnailList,moveToNewSerie,8,1,10,2,Alto Acoplamento Efferent
 V ,JCOMPONENT,org.weasis.core.ui.editor.image.DefaultView2d,getRealWorldViewScale,22,6,9,0,Alto Acoplamento Efferent
" A, D, V, X ",ENTITY,org.weasis.core.api.media.data.TagW,formatValue,46,13,8,3,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.codec.utils.SplittingRules,initDefault,33,1,5,0,Metodo Longo
 V ,UNDEFINED,org.weasis.core.api.image.util.JAIUtil,addCacheTiles,19,7,6,2,Muitos Desvios
 V ,UNDEFINED,org.weasis.openjpeg.cpp.openjpeg,opj_read_header,0,1,3,3,Muitos Parametros
 V ,SWINGWORKER,org.weasis.dicom.explorer.wado.LoadRemoteDicomManifest,doInBackground,20,4,9,0,Alto Acoplamento Efferent
 V ,ADAPTER,org.weasis.core.api.gui.util.SliderChangeListener,setSliderLabelValues,22,5,8,5,Metodo Longo
 V ,UNDEFINED,org.weasis.dicom.viewer2d.mpr.SeriesBuilder,writeRasterInRaw,40,14,7,2,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.weasis.launcher.AutoProcessor,processAutoDeploy,89,31,21,3,Alto Acoplamento Efferent
 V ,DIALOG,org.weasis.core.api.gui.util.AbstractWizardDialog,iniTree,39,8,8,0,Metodo Longo
 V ,ENTITY,org.weasis.dicom.codec.DicomInstance,compareTo,26,7,5,1,Metodo Longo
" A, V, X ",UNDEFINED,org.weasis.core.api.gui.InsertableUtil,applyPreferences,37,11,10,5,Muitos Desvios
" A, D, V, X ",MODEL,org.weasis.core.ui.model.graphic.imp.angle.OpenAngleToolGraphic,buildShape,46,10,15,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.core.api.media.data.TagUtil,getDoubleTagAttribute,14,4,5,3,Muitos Parametros
 V ,UNDEFINED,org.weasis.dicom.viewer2d.mpr.ImageParameters,getDataType,17,7,1,0,Muitos Desvios
 V ,POINTOPIMAGE,org.weasis.core.api.image.op.ThresholdToBinOpImage,intLoop,30,8,8,3,Muitos Desvios
 V ,JCOMPONENT,org.weasis.core.ui.editor.image.DefaultView2d,moveOrigin,18,6,5,1,Muitos Desvios
 V ,TAGW,org.weasis.dicom.codec.TagD,getDicomPeriod,30,7,8,1,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.explorer.pr.PrSerializer,buildDicomGraphic,52,10,18,3,Muitos Parametros
 V ,UNDEFINED,org.weasis.dicom.explorer.CheckTreeModel,getToolTipText,29,6,11,0,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.weasis.dicom.explorer.pr.PrGraphicUtil,buildCompoundGraphic,82,29,23,6,Muitos Desvios
 V ,JPANEL,org.weasis.dicom.au.AuView,createSlider,25,2,8,1,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.weasis.dicom.viewer2d.mpr.SeriesBuilder,createMissingSeries,163,37,43,3,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.core.api.image.op.MaxCollectionZprojection,computeRectDouble,45,8,11,3,Metodo Longo
 V ,UNDEFINED,org.weasis.core.api.gui.util.AbstractBufferHandler,openDocument,13,5,3,0,Muitos Desvios
 V ,MODEL,org.weasis.core.ui.model.utils.imp.DefaultViewModel,setModelOffset,9,4,3,3,Muitos Parametros
" A, R, D, V, X ",MODEL,org.weasis.base.viewer2d.InfoLayer,paint,73,19,20,1,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.explorer.pr.PrSerializer,writeReferences,23,6,8,3,Muitos Desvios
 V ,JCOMPONENT,org.weasis.core.ui.editor.image.GraphicsPane,labelBoundsChanged,28,5,8,4,Muitos Desvios
 V ,SWINGWORKER,org.weasis.acquire.explorer.DicomizeTask,doInBackground,27,4,11,0,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.core.api.image.op.MeanCollectionZprojection,computeRectInt,48,8,11,3,Alto Acoplamento Efferent
 V ,ENTITY,org.weasis.core.ui.editor.image.PixelInfo,getPixelValueText,24,7,4,0,Metodo Longo
 V ,MODEL,org.weasis.core.api.explorer.model.AbstractFileModel,getHierarchyNode,12,5,3,2,Muitos Desvios
 V ,UNDEFINED,org.weasis.core.ui.model.utils.algo.MinimumEnclosingRectangle,computeWidthConvex,23,5,5,1,Metodo Longo
 V ,UNDEFINED,org.weasis.core.api.service.BundlePreferences,putIntPreferences,17,7,6,3,Muitos Desvios
 V ,JPANEL,org.weasis.core.ui.pref.GeneralSetting,getIntPreferences,19,6,5,3,Muitos Parametros
 V ,VIEW,org.weasis.core.ui.editor.image.ImageViewerEventManager,getMoveTroughSliceAction,124,1,0,3,Muitos Parametros
" A, R, D, V, X ",UNDEFINED,org.weasis.core.api.image.util.ImageToolkit,getDefaultRenderedImage,55,17,11,5,Muitos Parametros
" D, V ",ABSTRACTOP,org.weasis.dicom.codec.display.ShutterOp,process,44,16,20,0,Metodo Longo
 V ,UNDEFINED,org.weasis.core.api.gui.util.GeomUtil,getColinearPointWithRatio,6,3,3,3,Muitos Parametros
" A, R, D, V, X ",MEDIAELEMENT,org.weasis.dicom.codec.DicomImageElement,getRenderedImage,80,24,24,2,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.explorer.wado.DownloadManager,readStudy,32,8,15,5,Metodo Longo
" A, V, X ",MODEL,org.weasis.core.ui.model.layer.imp.RenderedImageLayer,drawImage,36,10,13,1,Alto Acoplamento Efferent
 V ,UNDEFINED,org.weasis.dicom.explorer.DicomDirLoader,readDicomDirIcon,28,8,14,1,Metodo Longo
" A, R, V, X ",JPANEL,org.weasis.dicom.explorer.LocalExport,writeOther,81,20,30,4,Metodo Longo
" A, R, V, X ",SWINGWORKER,org.weasis.dicom.explorer.LoadLocalDicom,buildDicomStructure,104,23,23,2,Metodo Longo
 V ,MODEL,org.weasis.core.ui.model.graphic.AbstractGraphic,paint,22,6,5,2,Muitos Desvios
 V ,UNDEFINED,org.weasis.dicom.viewer2d.KOManager,setKeyObjectReference,33,11,10,2,Metodo Longo
 V ,JPANEL,org.weasis.core.api.gui.util.PickerView,getValueFromArea,33,6,8,0,Muitos Desvios
" A, V, X ",UNDEFINED,org.weasis.core.api.image.op.ByteLutCollection,(static_block),0,14,0,0,Muitos Desvios
" A, R, D, V, X ",VIEW,org.weasis.dicom.viewer2d.EventManager,updateComponentsListener,55,13,19,1,Alto Acoplamento Efferent
" A, D, V, X ",MODEL,org.weasis.core.ui.model.graphic.imp.angle.CobbAngleToolGraphic,buildShape,60,17,15,1,Metodo Longo
" A, V ",UNDEFINED,org.weasis.dicom.explorer.pref.node.AbstractDicomNode,loadDicomNodes,26,5,12,5,Alto Acoplamento Efferent
" D, V ",[SHAPE],org.weasis.core.ui.model.utils.bean.AdvancedShape,getArea,25,5,11,1,Alto Acoplamento Efferent
 V ,MEDIAELEMENT,org.weasis.dicom.codec.DicomSpecialElement,getRejectionKoSpecialElements,19,9,9,2,Muitos Desvios
" A, R, V, X ",IMAGEREADER,org.weasis.image.jni.NativeImageReader,getInfoImage,47,10,16,2,Alto Acoplamento Efferent
" A, V ",MODEL,org.weasis.acquire.graphics.CalibrationGraphic,buildShape,32,10,12,1,Alto Acoplamento Efferent
 V ,MODEL,org.weasis.dicom.explorer.DicomModel,getRejectionKoSpecialElement,8,2,7,3,Muitos Parametros
 V ,ENTITY,org.weasis.core.api.image.util.KernelData,divideKernel,16,5,2,1,Muitos Desvios
 V ,[NATIVECODEC],org.weasis.jpeg.internal.CharlsCodec,decompress,45,7,11,2,Alto Acoplamento Efferent
" A, R, D, V, X ",UNDEFINED,org.weasis.launcher.WeasisLauncher,setSystemSpecification,46,22,2,0,Muitos Desvios
 V ,IMAGEREADER,org.weasis.dicom.codec.DicomMediaIO,writeImageValues,71,20,9,1,Alto Acoplamento Efferent
" A, R, D, V, X ",VIEW,org.weasis.dicom.viewer2d.EventManager,getMoveTroughSliceAction,208,1,0,3,Metodo Longo
" A, R, V, X ",JCOMPONENT,org.weasis.base.viewer2d.View2d,importData,84,25,19,1,Metodo Longo
" A, V, X ",UNDEFINED,org.weasis.dicom.codec.geometry.LocalizerPoster,getIntersectionsOfCubeWithZPlane,22,13,4,1,Muitos Desvios
" A, R, D, V, X ",UNDEFINED,org.weasis.acquire.explorer.dicom.Transform2Dicom,dicomize,63,16,27,4,Alto Acoplamento Efferent
 V ,[GRAPHICLABEL],org.weasis.core.ui.model.graphic.AbstractGraphicLabel,updateBoundsSize,18,5,9,2,Muitos Desvios
 V ,TEST,org.weasis.core.ui.model.imp.suite.DeserializationSuite,test_basic_presentation_with_image_reference,22,1,5,0,Metodo Longo
 V ,MODEL,org.weasis.core.ui.model.AbstractGraphicModel,groupLayerByType,22,6,10,0,Muitos Desvios
 V ,POINTOPIMAGE,org.weasis.core.api.image.op.ThresholdToBinOpImage,floatLoop,30,8,9,3,Muitos Parametros
" A, D, V, X ",VIEW,org.weasis.base.viewer2d.ViewerFactory,getOpenImageAction,44,14,19,1,Muitos Desvios
 V ,JPANEL,org.weasis.dicom.send.SendDicomView,postDicom,39,5,13,2,Metodo Longo
