DesignRoleTechnique;LOC;CC;Efferent;NOP;
[AGGREEMENTMEASURESUPPORT];23;4;7;3;
HTTPDATAMANAGER;23;4;11;5;
[TEMPDIRPROVIDER];23;4;7;3;
OPENMRSMEMENTO;23;4;7;3;
POSITION_IMPLBASE;23;5;7;3;
[IBINDINGORDERELEMENTSTRATEGY];23;4;7;3;
[CELLEDITOR];23;4;7;3;
ABSTRACTMOJO;23;4;7;3;
[IBANDBOXFINDER];23;4;7;3;
DEFAULTPLUGINMANAGER;23;4;7;3;
PROCESSORSTRATEGY;23;4;7;3;
[PERIODMOVEMENTDELETINGLOGIC| PERIODMOVEMENTUPDATINGLOGIC];23;4;7;3;
UNTYPEDACTOR;217;24;7;3;
DEFAULTTABLECELLRENDERER;23;5;8;6;
WORKQUEUE;29;6;9;3;
[GENEFEATURE];34;11;7;3;
BASICPHASECONVERTER;23;4;10;3;
ACTIVEDIRECTORYREALM;35;5;13;3;
[ITASKFUNDAMENTALPROPERTIES];23;4;7;3;
[MODULEACTIVATOR];23;4;7;3;
[MAILMESSAGE];23;4;7;3;
EMPTYINTERCEPTOR;36;14;16;6;
[COMPARATORFACTORY];23;4;7;3;
[ICOSTCALCULATOR];44;16;13;4;
[GSTAG];23;4;7;3;
[IRESOURCE];23;4;7;3;
[MESSAGEPREPARATOR];23;4;8;3;
TERMMAP;23;4;7;3;
[URIUNIQFILTER];66;19;9;3;
[ITAB];23;4;7;3;
CHOICERENDERER;23;4;7;3;
DEFAULTLDAPREALM;23;5;10;3;
PROCESSOR;53;13;13;4;
BASECUSTOMIZABLEVALIDATOR;123;37;22;3;
[AGGREEMENTMEASURE];23;4;7;3;
[ICONFIGURATIONBOOTSTRAP];23;4;7;3;
[IBASECOMPOMENT];23;4;7;3;
TEST;39;4;11;3;
[IDATABOOTSTRAP];23;4;7;3;
CONFIGURED;37;8;13;3;
[APPORTIONMENTVALIDATOR];23;5;7;3;
[ICONFIGURATIONTYPEOFWORKHOURSBOOTSTRAP];23;4;7;3;
[COMPARATOR];56;21;12;5;
INFOCOMPONENT;23;4;7;3;
[WEBDRIVERFACTORY];23;4;9;3;
AJAXLINK;24;6;7;3;
[REPAIR];42;14;13;3;
[ICONVERTER];23;4;7;3;
[IEARNEDVALUECALCULATOR];23;4;7;3;
FTPCLIENT;23;4;7;3;
AGREEMENTRESULT;23;4;7;3;
BASEATTRIBUTETYPEVALIDATOR;23;5;7;3;
[USERSAVINGLOGIC| USERUPDATINGLOGIC];23;4;7;3;
EARNEDVALUECALCULATOR;23;4;7;3;
[MESSAGEHANDLER];30;11;10;3;
CRAWLERJOURNAL;60;18;17;5;
BASEMESSAGE;23;6;7;3;
[STATUSPROCESSOR];23;4;7;3;
HTMLMACROCOMPONENT;31;4;7;3;
REDUCER;31;7;16;3;
[CHECK];49;11;19;3;
[IIMPORTROSTERFROMTIM];40;7;18;4;
[VALIDATIONRESULTBUILDERFACTORY];23;4;7;3;
FILESYSTEMXMLAPPLICATIONCONTEXT;23;5;9;3;
[COLLECTORJOB];28;5;9;3;
INPUTNUMBERRENDERER;23;4;7;4;
[HANDLER];32;9;9;4;
RUNDECORATOR;23;4;7;3;
DEFAULTWEIGHTEDEDGE;23;8;12;3;
IDENTIFIER;23;4;7;3;
AJAXRESPONSE;23;4;7;3;
NUABSTRACTPROCESSHANDLER;23;4;8;3;
CONFIGPATH;23;4;7;3;
CONFIGURE;185;46;10;3;
FORM;44;10;14;3;
[USERTYPE];23;4;7;4;
INTERVALTREEMAP;23;6;7;3;
SEQUENCEFILEINPUTFORMAT;23;4;7;3;
[TRIPLESMAPGRAPHDAGIFIER];47;12;11;4;
ENTITIESTREE;23;4;7;3;
ABSTRACTGENEREADER;24;8;11;5;
ACTION;68;13;16;3;
POINTER;23;4;7;3;
[WEBBINDINGINITIALIZER];38;4;38;3;
[MESSAGESENDER];28;7;7;3;
BASECHAINCOMMANDSUPPORT;330;28;25;5;
[ITERABLE];23;4;7;3;
JFRAME;249;8;11;3;
[MOVEMENTCLASSSAVINGLOGIC| MOVEMENTCLASSUPDATINGLOGIC];23;4;8;3;
STEPPROPERTIES;23;4;7;3;
HESSIANPROXYFACTORY;23;4;9;3;
[PROXYMANAGER];23;5;10;3;
[IRECEIVEDOLDMESSAGEHANDLER];24;4;7;3;
GENERICUDF;24;6;12;3;
[FLASHTOSIPTRANSCODER];39;7;7;3;
DIGESTAUTHENTICATOR;23;4;8;3;
BASERICHBOLT;42;12;11;3;
CONTEXTLOADER;54;14;17;3;
CHECKBOXX;23;4;7;3;
DIRECTORYSERVERRESOURCE;62;15;13;3;
JPANEL;429;6;9;3;
[COMMANDHANDLER];23;4;7;3;
ADAPTER;38;8;13;5;
[ITREEPARENTNODE];23;4;7;3;
MESSAGESRENDERER;23;4;7;3;
SERVERENGINE;94;21;16;3;
[VERIFIABLE];23;4;7;3;
AJAXSUBMITLINK;23;4;7;3;
[COLLECTORDISPATCHER];28;4;13;4;
[ANNOTATIONSIDEBARREGISTRY];23;4;7;3;
[AUTHENTICATIONSERVER];51;9;11;3;
PERSISTENTENUMUSERTYPE;23;4;7;3;
SEARCHQUERY;29;7;13;3;
SETBASEDURIUNIQFILTER;39;10;12;3;
HASHMAP;117;38;14;3;
[FEATURESUPPORT];23;7;12;5;
[THUMBNAILCREATOR];28;5;10;3;
[FOOTERITEM];23;4;7;3;
[PROJECTEXPORTER];44;12;19;4;
[FILTERCONFIG];23;4;7;3;
[MESSAGECONVERTER];29;6;12;3;
DAEMON;26;4;7;3;
MESSAGEDIGEST;155;4;7;3;
[IDATESMAPPER];23;4;7;3;
[BASICMESSAGE];23;4;7;3;
LISTIMAGECAPTCHAENGINE;23;4;18;3;
STRUTSRESULTSUPPORT;132;25;31;3;
[SORTINGCOLLECTION.CODEC];23;5;7;3;
AUTHENTICATEDWEBSESSION;23;4;11;3;
PERSISTENCE;42;10;13;5;
URICANONICALIZATIONPOLICY;23;6;8;3;
[CALLABLE];67;10;17;4;
USABLEURI;23;4;7;3;
[IDISABILITYCONFIGURATION];23;4;7;3;
FRAME;26;4;7;3;
CELLVALUE;23;4;7;3;
USABLEURIFACTORY;23;4;7;3;
AUTHORIZINGREALM;23;5;11;3;
BASERULE;23;10;7;3;
[VOIDHANDLER];23;6;9;4;
FRAMERECORDER;353;111;18;8;
AGREEMENTMEASURESUPPORT_IMPLBASE;23;4;7;3;
[FIXEDMOVEMENTSAVINGLOGIC];23;4;7;3;
MAPPER;35;14;11;3;
[REMOTEAPIPROPERTIES];23;4;7;3;
PANEL;72;12;18;3;
[HTTPREQUESTEXECUTORFACTORY];23;4;7;3;
DIALOG;140;16;9;4;
[ISUMEXPENSESRECALCULATOR];32;4;7;3;
WRITER;23;4;7;3;
PROXYPLUGIN;33;6;8;3;
[APPLICATIONCONTEXTINITIALIZER];23;4;11;3;
REQUESTHEADERAUTHENTICATIONFILTER;23;4;13;3;
QUEUEASSIGNMENTPOLICY;24;8;7;3;
[CLOSEABLE];848;105;24;5;
[IALIGNMENTSAVER| IHISTORYSAVER];23;6;11;5;
ANNOTATIONEDITORFACTORYIMPLBASE;23;4;7;4;
[OPERATOR];23;4;7;3;
XULELEMENT;23;5;7;3;
NOTIFICATION;23;6;10;4;
CONTROLLER;34;7;11;3;
[HTTPSECURITYCONFIGURATION];23;4;7;3;
[INITIALIZATIONTASK];23;4;7;3;
HIBERNATEJPADIALECT;23;4;7;3;
[ICRITICALPATHCALCULABLE];23;4;7;3;
JRABSTRACTSCRIPTLET;23;4;7;3;
ONCEPERREQUESTFILTER;35;7;12;3;
CHARTFILLER;23;4;10;3;
[NGGBBEDFEATURE];23;4;7;3;
[COMPOSER];27;6;10;3;
ABSTRACTTAB;23;4;7;3;
[UNRETIREHANDLER];23;4;7;4;
COLUMN;23;4;7;3;
URLCLASSLOADER;118;29;22;4;
[FEATURESUPPORTREGISTRY];23;7;7;3;
COMMANDLINEUA;85;25;12;3;
ABSTRACTQUEUE;23;4;7;3;
ABSTRACTPROFILE;23;4;7;3;
ABSTRACTLONGFPSET;23;5;7;3;
[AGGREEMENTMEASURESUPPORTREGISTRY];23;4;7;3;
[TYPEFILTER];33;11;9;3;
[AUTHENTICATIONPROVIDER];23;4;7;3;
[VALIDATOR];114;35;16;4;
[ROWRENDERER];23;4;8;3;
[IHOURSGROUPHANDLER];52;11;7;3;
JCASFILEWRITER_IMPLBASE;152;62;28;6;
ROOTSTRATEGY;23;4;7;3;
ALLOCATIONROW;23;4;7;4;
[TEXTFILECREATOR];50;6;14;3;
TIMETRACKERSTATE;23;4;7;3;
[APPLICATIONCONTEXTAWARE];35;12;11;3;
[IITEMREUSESTRATEGY];30;4;7;3;
ABSTRACTTASK;23;7;12;3;
TASK;23;4;7;3;
CALENDARRENDERER;23;4;7;5;
ROUTEBUILDER;32;4;7;3;
[IVISITOR];23;6;7;3;
[EVALUATOR];53;11;11;3;
[APPLICATIONEVENTPUBLISHERHOLDER];23;4;7;3;
[FOOTERITEMREGISTRY];23;4;7;3;
[VEHICLESAVINGLOGIC];23;4;7;3;
[IUSERSBOOTSTRAPINDB];23;4;7;3;
[PLUGIN];46;13;14;4;
PERSONVALIDATOR;29;10;11;3;
HTTPSERVLETRESPONSEWRAPPER;23;5;7;3;
[PROJECTSETTINGSPANELREGISTRY];23;4;7;3;
[LOCALDATETIMEPROVIDER];23;4;7;3;
CREATESEQUENCEFILE;23;4;7;3;
[PARAMETRIZEDSTEP];23;4;7;3;
BASEHYPHENATEDIDENTIFIERVALIDATOR;23;4;7;3;
AJAXFORMSUBMITBEHAVIOR;23;4;7;3;
ASYNCTASK;58;14;16;3;
[ICONVERTERFACTORY];23;4;7;3;
[CUSTOMDATATYPEHANDLER];23;4;7;3;
[ICONNECTORBOOTSTRAP];23;4;7;3;
[INDEXABLE];32;26;20;3;
[AUTOCLOSEABLE];29;11;9;3;
APPENDERSKELETON;23;4;7;3;
USERNAMEPASSWORDTOKEN;23;4;7;3;
BASERDFIMPL;23;4;7;3;
[ERRORMESSAGE];23;4;7;3;
[JARDIFFCONSTANTS];120;33;13;4;
GENOTYPE;23;4;7;3;
[HTTPREQUESTEXECUTOR];23;4;15;3;
[URIUNIQFILTER.CRAWLURIRECEIVER];26;5;12;3;
APPLICATION;85;12;16;6;
RESOURCECOLLECTIONREADERBASE;73;26;12;4;
[TAGSETINITIALIZER];23;4;7;3;
JRDEFAULTSCRIPTLET;23;4;7;3;
CONCURRENTSKIPLISTMAP;23;6;7;3;
[USERSAVINGLOGIC];23;4;7;3;
ENTITY;36;8;8;3;
ABSTRACTSIMPLECOMMANDHANDLER;29;7;12;3;
[HEADERREQUESTSTRATEGY];23;4;7;3;
REFERENCE;23;4;7;3;
AGGREEMENTMEASURE_IMPLBASE;42;8;16;3;
[METHODBEFOREADVICE];62;20;16;6;
JOBDATA;23;4;7;3;
[ICALLBACKEVENT];23;4;7;3;
[TRANSFORMOPERATOR];23;4;7;3;
[MESSAGE];23;4;7;3;
[PROTOCOLCODECFACTORY];23;4;7;3;
REPLAYINGDECODER;57;10;15;4;
DECIDERULE;25;8;9;4;
RTPFLOW;23;4;7;3;
RESOURCETOOL;23;5;7;3;
[SCREENCAPTURESENDER];34;4;8;4;
BASEENCOUNTERVISITHANDLER;29;9;10;3;
[SAVEHANDLER];52;22;15;4;
[INTERCEPTOR];23;7;10;6;
[LAYERSUPPORTREGISTRY];23;7;7;3;
[IADAPTPLANNINGCOMMAND];34;7;9;3;
ABSTRACTMODULE;23;4;7;3;
CXFSERVLET;23;4;7;3;
[SYSTEMMESSAGEPROVIDE];23;4;7;3;
[COLLECTORFACTORY];23;4;7;3;
[IUSESSLOGHELPER];23;4;7;3;
[FULLTEXTSESSIONFACTORY];23;4;7;3;
SIMPLEDATEFORMAT;23;4;7;3;
[RDFPARSER];269;60;12;3;
[VALIDATIONRESULTBUILDER];23;4;7;3;
PYTHONTRANSFORMATIONTOKENVISTOR;23;4;7;3;
AJAXFORMCOMPONENTUPDATINGBEHAVIOR;23;4;7;3;
[COSTCENTERSAVINGLOGIC];23;4;7;3;
RUNINDEXWRAPPER;23;4;8;3;
[IPROFILEBOOTSTRAP];23;4;7;3;
[LAYERBEHAVIORREGISTRY];23;4;7;3;
ABSTRACTAJAXBEHAVIOR;23;4;7;3;
[INJECTORSOURCE];23;4;7;3;
QUEUETASKGENERATOR;23;4;7;3;
[ILOADCHARTDATA];27;4;7;3;
[MENUITEM];23;4;7;3;
[RECORDER];41;4;10;3;
DEFAULTAGREEMENTTRAITS;23;4;7;3;
[IDENTIFIERVALIDATOR];53;15;7;3;
[IDELETEMILESTONECOMMAND];23;4;7;3;
[RESOURCE];23;4;7;3;
[OBSERVER];23;4;7;3;
ABSTRACTINTERCEPTOR;64;17;22;4;
[CUSTOMDATATYPE];23;4;7;3;
[LOGICALOPERATOR];23;4;7;3;
[JOB];32;4;13;3;
BLOOMFILTER;23;4;8;3;
[IADVANCEDALLOCATIONCOMMAND];23;4;7;3;
EVENTQUEUE;23;5;14;3;
REDISAWARECOMMUNICATOR;33;4;7;3;
STATELESSLINK;23;4;7;3;
[SEGFEATURE];23;4;7;3;
[PLUGIN| CONVERSATIONHANDLER];67;24;12;4;
NODE;23;11;7;3;
SIMPLEFORMATTER;37;5;8;3;
REENTRANTWRITERPREFERENCEREADWRITELOCK;23;4;7;3;
[AUTHENTICATOR];23;12;7;3;
RDFGENERATOR;81;14;21;13;
[DBKEY];23;4;7;3;
CHARTRESULT;24;7;7;3;
[JSONIZABLE];65;23;14;9;
[BANNER];23;4;7;3;
[TEMPLATETERMSETPOPULATORSTRATEGY];23;4;7;3;
PROVIDER;23;4;7;3;
SOURCE;40;11;17;5;
ABSTRACTVCFREADER;50;18;13;7;
INDEXER;23;4;7;5;
MENUITEM;23;4;7;3;
[COLLECTOR];23;4;7;3;
CALL;24;9;7;4;
[BLOCKFILESYSTEM];23;4;7;3;
ABSTRACTJDBCUTIL;23;4;8;8;
[ICALENDARBOOTSTRAP];24;5;7;3;
TREENODEONLIST;23;4;7;3;
MESSAGEBODY;23;4;7;3;
BUTTON;23;4;7;3;
EXCEPTION;23;4;7;3;
UPDATEVISITOR;55;7;14;5;
SERIALIZINGCUSTOMDATATYPE;23;4;7;3;
[PROJECTSETTINGSPANELFACTORY];23;4;7;3;
[IEXPORTTIMESHEETSTOTIM];41;8;18;3;
[BRATPROPERTIES];23;4;7;3;
RECRAWLDATASCHEMABASE;45;13;13;3;
DEFAULTWEBSECURITYMANAGER;23;4;7;3;
[HTTPCLIENT];145;56;12;3;
SORTABLEDATAPROVIDER;23;4;7;3;
[FUNCTION];23;4;7;3;
JLABEL;26;4;8;5;
[TRANSCODER];52;8;8;6;
RENDERER_IMPLBASE;59;15;26;7;
AJAXBUTTON;23;4;7;3;
[ISUBCONTRACTCOMMAND];23;4;7;3;
RESPONSEBODYEMITTER;23;4;7;3;
[IWORKREPORTTYPEBOOTSTRAP];23;4;7;3;
DEFAULTHANDLER;47;15;7;4;
[GLOBALINTERCEPTOR];23;7;7;3;
[COMPARATORDISPATCHER];23;4;10;3;
[METHODINTERCEPTOR];83;27;21;3;
[X509KEYMANAGER];25;7;9;3;
[ENTRY];23;4;7;3;
ORDERVALIDATOR;30;11;7;3;
ALLOCATIONSPEC;23;4;9;3;
AVRORECORDREADERBASE;23;4;7;3;
GENERICFORWARDCOMPOSER;29;5;8;3;
PYTHONTRANSFORMATIONTOKEN;23;4;7;3;
[IREASSIGNCOMMAND];23;4;8;3;
KARMAMETADATA;40;11;9;3;
MODALWINDOW;23;5;8;3;
[SLACKWEBAPICLIENT];23;4;7;6;
ANNOTATIONSIDEBARFACTORY_IMPLBASE;23;4;7;5;
[ANNOTATIONEDITORREGISTRY];23;4;7;3;
JSONDESERIALIZER;60;28;7;3;
[ITASKPROPERTIESCOMMAND];23;4;7;3;
DEFAULTTREECELLRENDERER;23;5;8;7;
LOGCALLBACK;23;9;7;3;
CHARACTERESCAPES;23;4;7;3;
[CLOSEABLETRIBBLEITERATOR];23;5;12;3;
TEXTINPUTFORMAT;23;12;7;3;
LESSRESOURCEREFERENCE;23;4;7;3;
[CONVERTER];23;4;7;3;
[IDETAILITEMMODIFIER];24;10;7;3;
[COMPLETIONAWAREAGGREGATIONSTRATEGY];23;4;7;3;
CUMULATIVEPROTOCOLDECODER;30;5;10;3;
WEBELEMENTSLOCATORPARAMS;23;4;9;3;
[UICOMPONENT];35;8;10;3;
[ITERATOR];23;4;7;3;
[YESNOKEYPROVIDE];23;4;7;3;
VIEW;78;15;15;4;
FRAMEGRABBER;134;46;16;4;
W3CHTML5COMPARATORJOB;23;4;11;3;
[LONGFPSET];23;4;7;3;
[FILEDISTRIBUTIONSTRATEGY];23;4;9;3;
[IFINDER];23;7;7;3;
WICKETBOOTSECUREDWEBAPPLICATION;23;4;8;3;
DNDSIMPLEINFO;23;4;7;3;
[IORDERRESOURCELOADCALCULATOR];23;4;7;3;
BASESIPRESPONSES;23;4;7;3;
LABEL;23;4;7;3;
ABSTRACTFILEDISTRIBUTIONSTRATEGY;23;4;7;3;
KRYO;38;9;15;4;
JTABLE;23;7;7;6;
[CALCULATOR];29;9;11;3;
[IMULTIPLEFILTERSFINDER];23;5;7;3;
ROBOTSPOLICY;23;5;7;3;
[ICRITERIONTYPEPROVIDER];23;4;7;3;
[GROUPDELETINGLOGIC];23;4;7;3;
[ICRITERIONTYPE];23;4;7;3;
STYLEDEDITORKIT;23;7;9;3;
[JOBREGISTRY];23;4;7;3;
ASARRAYSERIALIZERBASE;31;7;12;4;
[LAYERBEHAVIOR];23;4;7;5;
SERVERCACHE;23;4;7;3;
BASECOMPOMENT;23;4;8;3;
FORMATTER;55;12;14;3;
[MANAGERCONNECTION];23;4;7;3;
ABSTRACTHANDLER;54;11;17;3;
GFFFEATURE;23;7;7;3;
[READSOURCE];23;4;7;3;
SHEETASSOCIATION;23;4;7;3;
FPMERGEURIUNIQFILTER;23;5;12;3;
[FORMATSUPPORT];50;14;14;3;
[PERIODSAVINGLOGIC];23;4;7;3;
[STRINGBRIDGE];23;4;7;3;
[SCREENSHARER];23;4;7;4;
[DOSINGINSTRUCTIONS];29;5;7;3;
[IMONEYCOSTCALCULATOR];23;5;7;3;
ENVIRONMENT;23;4;7;3;
[X509TRUSTMANAGER];23;4;7;3;
HASHTABLE;42;7;7;3;
HTTPSERVLET;68;13;16;3;
[JMSCONNECTION];23;4;7;3;
MAPPLAN;23;6;9;4;
[IEDITTASKUTILITIES];23;4;7;3;
JDBCUSERDETAILSMANAGER;23;4;9;3;
TEMPLATETERMSETPOPULATORPLAN;42;8;15;3;
QUEUEPRECEDENCEPOLICY;23;6;7;3;
[INEWOBJECT];23;4;7;3;
HOURSGROUPHANDLER;23;4;7;3;
MULTIPLEFILTERSFINDER;23;6;7;3;
WIDGET;23;4;7;3;
[PROXYSERVERWRAPPER];23;4;14;3;
SCALARSERIALIZERBASE;23;4;7;3;
SEEDMODULE;23;5;9;3;
BEHAVIOR;23;4;7;3;
REPORT;37;6;12;3;
[ICHARTFILLER];23;4;7;4;
MODECASE;23;4;7;3;
[ILABELBOOTSTRAP];23;4;7;3;
[JARDIFFCONSTANTS| PATCHER];72;12;17;4;
LISTCHOICE;23;4;7;4;
JAVASCRIPTRESOURCEREFERENCE;23;4;14;3;
[PROPERTYEDITOR];23;4;7;3;
HTTPSERVLETREQUESTWRAPPER;32;5;8;3;
GJVOIDDEPTHFIRST;23;4;8;3;
REGEXEXPANSION;23;4;7;3;
[MENUITEMREGISTRY];23;4;7;3;
DIRECTORY;23;4;7;3;
[ENCOUNTERVISITHANDLER];23;4;7;3;
[BRATMETRICS];23;4;7;4;
ABSTRACTOUTBOUNDPIPELINEFACTORY;23;4;7;3;
[ICALENDARALLOCATIONCOMMAND];23;4;7;3;
R2RMLMAPPING;23;4;7;3;
[IHASTASKASSOCIATED];23;4;7;3;
[RUN];23;4;7;3;
[TRANSFERENCESAVINGLOGIC];23;4;7;3;
BASESIPMETHODS;23;4;7;3;
BANDBOXFINDER;23;4;7;3;
COLLECTIONPART;23;4;7;5;
[OPERAND];23;8;7;3;
[EXPECTEDCONDITION];23;4;7;3;
[IEXECUTORRETRIEVER];23;4;7;3;
[CLIENTMESSAGE];23;4;7;3;
FEEDBACKPANEL;23;6;7;3;
TEXTBOX;23;4;7;3;
OPERATIONSTATUS;23;4;7;3;
[REVISITPROFILE];23;4;7;3;
ABSTRACTUSERDETAILSAUTHENTICATIONPROVIDER;37;10;11;3;
[TOMCATCONFIGURER];23;4;7;3;
[PATHITERATOR];103;19;7;3;
X509EXTENDEDTRUSTMANAGER;23;4;7;3;
JAPPLET;35;12;10;3;
[REALMCONFIGURATION];23;4;7;3;
[PREDICATE];23;4;7;3;
LOG;23;6;7;4;
JTEXTAREA;25;6;7;6;
FIELD;23;4;7;3;
CRITERIONREQUIREMENTHANDLER;23;4;9;3;
[DELAYED];23;4;7;3;
ABSTRACTWIGPROCESSOR;35;7;23;4;
[ICONTEXTWITHPLANNERTASK];23;4;7;3;
[RETIREHANDLER];23;5;7;4;
[IORDERIMPORTER];34;8;15;3;
[SMARTLIFECYCLE];27;5;10;5;
[URIERRORLOGGERMODULE];23;4;7;3;
HANDLER;31;5;7;3;
[IMAGERESIZER];23;4;11;3;
[FIXEDMOVEMENTDELETINGLOGIC];23;4;7;3;
DISPATCHERSERVLET;23;4;7;3;
WEBMARKUPCONTAINER;68;18;20;7;
[CUSTOMTASKCHANGE];115;20;29;3;
[PERIODDELETINGLOGIC];23;4;7;3;
OBJECTMAPPER;23;4;7;3;
ASCIIFEATURECODEC;65;5;12;3;
[COMPARATORJOB];30;6;16;3;
ABSTRACTEXECUTIONAWAREREQUEST;23;4;7;3;
IMPORT;50;12;15;5;
LINKEDHASHMAP;150;58;12;4;
[DATAFILTERFACTORY];23;4;7;3;
[FILTERCHAIN];23;4;7;3;
VOICECONFERENCEEVENT;23;4;7;3;
[AUTHPROVIDER];23;4;8;3;
[ORDERNUMBERGENERATOR];23;4;7;3;
COMBOBOX;23;4;7;3;
SIMPLEBINDINGS;23;4;7;3;
AJAXTABBEDPANEL;23;4;7;3;
[WALLETSAVINGLOGIC| WALLETUPDATINGLOGIC];23;4;7;3;
TYPESAFEMATCHER;23;4;7;3;
ARRAYLIST;145;50;9;7;
FILEINPUTFORMAT;23;4;7;3;
GRID;23;4;7;3;
MODEL;52;11;14;3;
[ISUMCHARGEDEFFORTRECALCULATOR];32;4;7;3;
ABSTRACTVERTICLE;78;11;20;3;
CSSRESOURCEREFERENCE;23;4;7;3;
SEQUENCEFILEASTEXTINPUTFORMAT;23;4;7;3;
[COSTCENTERUPDATINGLOGIC];23;4;7;3;
AJAXFORMCHOICECOMPONENTUPDATINGBEHAVIOR;23;4;7;3;
[MARKER];23;4;7;3;
BASEOPENMRSOBJECT;25;8;7;3;
[LIFECYCLE];23;4;7;3;
TIMERTASK;23;4;7;3;
[ISCENARIOSBOOTSTRAP];23;5;7;3;
CUSTOMTOOLTIPBEHAVIOR;23;4;7;3;
[ITYPEOFWORKHOURSBOOTSTRAP];23;4;7;3;
[IJIRATIMESHEETSYNCHRONIZER];44;10;14;4;
[LISTITEMRENDERER];23;4;7;3;
[USERDETAILSPROVIDER];23;4;7;3;
[ICALENDAR];23;4;7;3;
[APPLICATION];221;56;35;4;
[WEBCOMMUNICATIONWRAPPER];23;4;7;3;
[UNVOIDHANDLER];25;12;15;4;
[ICONTEXT];24;5;11;3;
[CARDDELETINGLOGIC];23;4;7;3;
[TOKENPARSER];23;7;8;3;
[IEVENTSMESSAGEBUS];23;4;7;3;
[ICALENDARIMPORTER];28;8;11;3;
JWINDOW;23;4;7;3;
KR2RMLRDFWRITER;43;12;11;6;
[RESOURCEACCESSOR];23;4;7;3;
[PERIODMOVEMENTDELETINGLOGIC];23;5;7;3;
ABSTRACTFRONTIER;105;11;14;3;
UDF;33;10;9;5;
[JSONDESERIALIZER];23;4;10;3;
[VCFREADER];23;4;7;4;
[PROCESSOR];23;4;9;3;
SERVICE;40;9;14;4;
