DesignRoleTechnique;LOC;CC;Efferent;NOP;
[IREASSIGNCOMMAND];22;4;8;3;
PYTHONTRANSFORMATIONTOKEN;20;4;7;3;
ABSTRACTMESSAGESOURCE;20;4;7;3;
KARMAMETADATA;40;11;9;3;
LINKEDAPIREQUESTMANAGER;100;27;13;4;
[ITASKPROPERTIESCOMMAND];20;4;7;3;
[CLOSEABLETRIBBLEITERATOR];20;5;12;3;
CHARACTERESCAPES;20;4;7;3;
HTTPDATAMANAGER;21;4;11;5;
TEXTINPUTFORMAT;20;12;7;3;
OPENMRSMEMENTO;20;4;7;3;
[CONVERTER];20;4;7;3;
[IDETAILITEMMODIFIER];24;10;7;3;
[IBINDINGORDERELEMENTSTRATEGY];20;4;7;3;
[UICOMPONENT];35;8;10;3;
[YESNOKEYPROVIDE];20;4;7;3;
[IBANDBOXFINDER];20;4;7;3;
[ITERATOR];20;4;7;3;
VIEW;49;14;15;3;
[IFINDER];20;7;7;3;
[FILEDISTRIBUTIONSTRATEGY];21;4;9;3;
[GENEFEATURE];34;11;7;3;
[IORDERRESOURCELOADCALCULATOR];20;4;7;3;
ACTIVEDIRECTORYREALM;35;5;13;3;
[MODULEACTIVATOR];20;4;7;3;
[ITASKFUNDAMENTALPROPERTIES];20;4;7;3;
EMPTYINTERCEPTOR;36;14;16;6;
LABEL;20;4;7;3;
[ICOSTCALCULATOR];44;16;13;4;
ABSTRACTFILEDISTRIBUTIONSTRATEGY;20;4;7;3;
[GSTAG];20;4;7;3;
[MESSAGEPREPARATOR];20;4;8;3;
TERMMAP;20;4;7;3;
[ITAB];20;4;7;3;
DEFAULTLDAPREALM;22;5;10;3;
[IMULTIPLEFILTERSFINDER];20;5;7;3;
BASECUSTOMIZABLEVALIDATOR;123;37;22;3;
[ICRITERIONTYPEPROVIDER];20;4;7;3;
[ICONFIGURATIONBOOTSTRAP];20;4;7;3;
[ICRITERIONTYPE];20;4;7;3;
[IBASECOMPOMENT];20;4;7;3;
TEST;38;4;10;3;
[IDATABOOTSTRAP];20;4;7;3;
[ICONFIGURATIONTYPEOFWORKHOURSBOOTSTRAP];20;4;7;3;
CONFIGURED;37;8;13;3;
[COMPARATOR];56;21;13;5;
BASECOMPOMENT;20;4;8;3;
INFOCOMPONENT;20;4;7;3;
GFFFEATURE;20;7;7;3;
ABSTRACTHANDLER;54;11;17;3;
[ICONVERTER];20;4;7;3;
[IEARNEDVALUECALCULATOR];20;4;7;3;
BASEATTRIBUTETYPEVALIDATOR;20;5;7;3;
[STRINGBRIDGE];20;4;7;3;
EARNEDVALUECALCULATOR;20;4;7;3;
[DOSINGINSTRUCTIONS];29;5;7;3;
[IMONEYCOSTCALCULATOR];20;5;7;3;
[X509TRUSTMANAGER];20;4;7;3;
HTMLMACROCOMPONENT;31;4;7;3;
REDUCER;31;7;16;3;
HTTPSERVLET;112;9;12;3;
[IIMPORTROSTERFROMTIM];40;7;18;4;
MAPPLAN;20;6;9;4;
[IEDITTASKUTILITIES];20;4;7;3;
[HANDLER];32;9;9;4;
TEMPLATETERMSETPOPULATORPLAN;42;8;15;3;
[INEWOBJECT];20;4;7;3;
DEFAULTWEIGHTEDEDGE;20;8;12;3;
HOURSGROUPHANDLER;20;4;7;3;
MULTIPLEFILTERSFINDER;20;6;7;3;
[USERTYPE];20;4;7;4;
INTERVALTREEMAP;20;6;7;3;
SEQUENCEFILEINPUTFORMAT;20;4;7;3;
[ICHARTFILLER];20;4;7;4;
[TRIPLESMAPGRAPHDAGIFIER];47;12;11;4;
MODECASE;20;4;7;3;
[ILABELBOOTSTRAP];20;4;7;3;
ENTITIESTREE;20;4;7;3;
ABSTRACTGENEREADER;24;8;11;5;
HTTPSERVLETREQUESTWRAPPER;32;5;8;3;
ACTION;73;13;15;3;
[ENCOUNTERVISITHANDLER];20;4;7;3;
[WEBBINDINGINITIALIZER];38;4;38;3;
[MESSAGESENDER];28;7;7;3;
BASECHAINCOMMANDSUPPORT;330;28;25;5;
[ITERABLE];20;4;7;3;
[ICALENDARALLOCATIONCOMMAND];20;4;7;3;
R2RMLMAPPING;20;4;7;3;
JFRAME;27;4;7;3;
[IHASTASKASSOCIATED];20;4;7;3;
HESSIANPROXYFACTORY;20;4;9;3;
BANDBOXFINDER;20;4;7;3;
COLLECTIONPART;20;4;7;5;
GENERICUDF;24;6;12;3;
[OPERAND];21;8;7;3;
[IEXECUTORRETRIEVER];20;4;7;3;
CONTEXTLOADER;54;14;17;3;
BASERICHBOLT;42;12;11;3;
[COMMANDHANDLER];20;4;7;3;
ADAPTER;20;4;7;3;
TEXTBOX;20;4;7;3;
[ITREEPARENTNODE];20;4;7;3;
ABSTRACTUSERDETAILSAUTHENTICATIONPROVIDER;37;10;11;3;
[TOMCATCONFIGURER];20;4;7;3;
[PREDICATE];20;4;7;3;
FIELD;20;4;7;3;
CRITERIONREQUIREMENTHANDLER;20;4;9;3;
ABSTRACTWIGPROCESSOR;35;7;23;4;
SEARCHQUERY;29;7;13;3;
[ICONTEXTWITHPLANNERTASK];20;4;7;3;
[RETIREHANDLER];20;5;7;4;
[IORDERIMPORTER];34;8;15;3;
[FILTERCONFIG];20;4;7;3;
[MESSAGECONVERTER];29;6;12;3;
DAEMON;26;4;7;3;
[IDATESMAPPER];20;4;7;3;
LISTIMAGECAPTCHAENGINE;20;4;18;3;
STRUTSRESULTSUPPORT;132;25;31;3;
[SORTINGCOLLECTION.CODEC];20;5;7;3;
DISPATCHERSERVLET;20;4;7;3;
PERSISTENCE;42;10;13;5;
[CALLABLE];67;10;17;3;
[CUSTOMTASKCHANGE];115;20;29;3;
[IDISABILITYCONFIGURATION];20;4;7;3;
ASCIIFEATURECODEC;65;5;12;3;
OBJECTMAPPER;20;4;7;3;
IMPORT;50;12;15;5;
CELLVALUE;20;4;7;3;
LINKEDHASHMAP;150;58;12;5;
[FILTERCHAIN];20;4;7;3;
AUTHORIZINGREALM;22;5;11;3;
[ORDERNUMBERGENERATOR];20;4;7;3;
[VOIDHANDLER];20;6;9;4;
COMBOBOX;20;4;7;3;
MAPPER;35;14;11;3;
TYPESAFEMATCHER;20;4;7;3;
ARRAYLIST;43;20;9;3;
DIALOG;20;4;7;3;
[ISUMEXPENSESRECALCULATOR];32;4;7;3;
FILEINPUTFORMAT;20;4;7;3;
GRID;20;4;7;3;
WRITER;20;4;7;3;
MODEL;57;12;14;4;
[ISUMCHARGEDEFFORTRECALCULATOR];32;4;7;3;
[CLOSEABLE];20;4;7;3;
[IALIGNMENTSAVER| IHISTORYSAVER];20;6;11;5;
[OPERATOR];20;4;7;3;
SEQUENCEFILEASTEXTINPUTFORMAT;20;4;7;3;
XULELEMENT;20;5;7;3;
NOTIFICATION;20;6;10;4;
CONTROLLER;31;7;11;3;
BASEOPENMRSOBJECT;30;8;7;3;
HIBERNATEJPADIALECT;20;4;7;3;
TIMERTASK;20;4;7;3;
[ISCENARIOSBOOTSTRAP];20;5;7;3;
[IJIRATIMESHEETSYNCHRONIZER];44;10;14;4;
[ITYPEOFWORKHOURSBOOTSTRAP];20;4;7;3;
[ICRITICALPATHCALCULABLE];20;4;7;3;
[LISTITEMRENDERER];20;4;7;3;
ONCEPERREQUESTFILTER;35;7;12;3;
JRABSTRACTSCRIPTLET;20;4;7;3;
CHARTFILLER;21;4;10;3;
[ICALENDAR];20;4;7;3;
[NGGBBEDFEATURE];20;4;7;3;
[APPLICATION];221;56;35;4;
[COMPOSER];27;6;10;3;
[UNRETIREHANDLER];20;4;7;4;
COLUMN;20;4;7;3;
[UNVOIDHANDLER];25;12;15;4;
[ICONTEXT];24;5;11;3;
URLCLASSLOADER;118;29;22;4;
[ICALENDARIMPORTER];28;8;11;3;
[RESOURCEACCESSOR];20;4;7;3;
KR2RMLRDFWRITER;43;12;11;6;
UDF;33;10;9;5;
[VCFREADER];20;4;7;4;
[TYPEFILTER];33;11;9;3;
[AUTHENTICATIONPROVIDER];20;4;7;3;
SERVICE;39;9;14;4;
[VALIDATOR];114;35;16;4;
[ROWRENDERER];20;4;8;3;
[IHOURSGROUPHANDLER];52;11;7;3;
ALLOCATIONROW;20;4;7;4;
ROOTSTRATEGY;20;4;7;3;
TIMETRACKERSTATE;20;4;7;3;
[LIST];20;4;7;3;
[APPLICATIONCONTEXTAWARE];35;12;11;3;
[IDEPENDENCY];20;4;7;3;
[TYPECONVERTER];20;4;7;3;
[MAFFEATURE];20;7;7;3;
ABSTRACTTASK;20;7;12;3;
TASK;20;4;7;3;
ROUTEBUILDER;32;4;7;3;
TASKELEMENTVISITOR;22;7;7;3;
[CUSTOMPRECONDITION];20;4;8;3;
[IUSERSBOOTSTRAPINDB];20;4;7;3;
KR2RMLCOLUMNNAMEFORMATTER;20;4;7;3;
DATE;20;4;7;3;
[IASSIGNMENTFUNCTIONCONFIGURATION];20;4;8;3;
PERSONVALIDATOR;29;10;11;3;
HTTPSERVLETRESPONSEWRAPPER;20;5;7;3;
[IMATERIALCATEGORYBOOTSTRAP];20;4;7;3;
RELOADABLERESOURCEBUNDLEMESSAGESOURCE;41;10;15;3;
[COMPARISONOPERATOR];20;4;7;3;
CREATESEQUENCEFILE;20;4;7;3;
BASEHYPHENATEDIDENTIFIERVALIDATOR;20;4;7;3;
ASYNCTASK;39;7;8;3;
[ICONVERTERFACTORY];20;4;7;3;
[CUSTOMDATATYPEHANDLER];20;4;7;3;
[ICONNECTORBOOTSTRAP];20;4;7;3;
APPENDERSKELETON;20;4;7;3;
USERNAMEPASSWORDTOKEN;20;4;7;3;
[IGRAPHICGENERATOR];27;5;11;4;
BASERDFIMPL;20;4;7;3;
COMBINEDWORKHOURS;20;4;7;3;
GENOTYPE;20;4;7;3;
ABSTRACTFEATUREREADER;20;4;7;3;
APPLICATION;85;12;16;6;
ABSTRACTHTTPMESSAGECONVERTER;20;5;7;3;
[AUTHENTICATIONSCHEME];20;4;7;3;
[FILTER];51;13;17;3;
JRDEFAULTSCRIPTLET;20;4;7;3;
ENTITY;39;8;9;3;
ABSTRACTSIMPLECOMMANDHANDLER;29;7;12;3;
[IRESOURCEALLOCATIONCOMMAND];20;4;7;3;
[JSONLDTRIPLECALLBACK];124;27;18;5;
[METHODBEFOREADVICE];62;20;16;6;
[TRANSFORMOPERATOR];20;4;7;3;
TAGSUPPORT;45;9;7;3;
[OPENMRSSERIALIZER];20;4;7;3;
RESOURCETOOL;20;5;7;3;
[AUTHENTICATED];20;4;7;3;
BASEENCOUNTERVISITHANDLER;29;9;10;3;
TEMPLATETERM;20;4;7;3;
[OID];20;4;7;3;
[IAUTOUPDATEDSNAPSHOT];23;4;7;4;
[SAVEHANDLER];52;22;15;4;
USER;20;6;7;3;
[IADVANCEASSIGNMENTPLANNINGCOMMAND];20;4;7;3;
[INTERCEPTOR];21;7;10;6;
[IADAPTPLANNINGCOMMAND];34;7;9;3;
CXFSERVLET;20;4;7;3;
[SYSTEMMESSAGEPROVIDE];20;4;7;3;
SECURITYMANAGER;20;4;7;3;
[ICRITERIONSBOOTSTRAP];20;4;7;3;
[TASK];20;4;7;3;
[IUSESSLOGHELPER];20;4;7;3;
SIMPLEDATEFORMAT;20;4;7;3;
[RDFPARSER];269;60;12;3;
[DOWNSAMPLINGSIFTER];25;8;9;6;
